city,timestamp,temperature,feels_like,pressure,humidity,wind_speed,weather_description
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:42:49,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:45:29,14.08,14,1005,94,4,broken clouds
Novosibirsk,2025-06-18 00:42:38,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:44:37,12.77,12.71,1004,100,3,mist
Nizhny Novgorod,2025-06-18 00:43:25,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:42:54,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:42:26,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:45:38,23.94,24.06,1003,64,1,clear sky
Rostov-on-Don,2025-06-18 00:45:38,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:45:38,11.65,11.38,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:42:19,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:41:44,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:43:07,14.42,13.54,1005,62,0.89,clear sky
Tyumen,2025-06-18 00:45:39,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:41:06,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:40:51,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:43:29,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 00:41:22,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:45:01,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:45:39,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:42:49,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:45:29,14.08,14,1005,94,4,broken clouds
Novosibirsk,2025-06-18 00:42:38,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:44:37,12.77,12.71,1004,100,3,mist
Nizhny Novgorod,2025-06-18 00:43:25,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:42:54,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:42:26,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:45:38,23.94,24.06,1003,64,1,clear sky
Rostov-on-Don,2025-06-18 00:45:38,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:45:38,11.65,11.38,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:42:19,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:41:44,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:43:07,14.42,13.54,1005,62,0.89,clear sky
Tyumen,2025-06-18 00:45:39,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:41:06,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:40:51,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:43:29,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 00:41:22,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:45:01,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:45:39,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:42:49,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:45:29,14.08,14,1005,94,4,broken clouds
Novosibirsk,2025-06-18 00:42:38,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:44:37,12.77,12.71,1004,100,3,mist
Nizhny Novgorod,2025-06-18 00:43:25,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:42:54,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:42:26,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:45:38,23.94,24.06,1003,64,1,clear sky
Rostov-on-Don,2025-06-18 00:45:38,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:45:38,11.65,11.38,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:42:19,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:41:44,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:43:07,14.42,13.54,1005,62,0.89,clear sky
Tyumen,2025-06-18 00:45:39,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:41:06,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:40:51,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:43:29,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 00:41:22,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:45:01,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:45:39,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:42:49,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:45:29,14.08,14,1005,94,4,broken clouds
Novosibirsk,2025-06-18 00:42:38,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:44:37,12.77,12.71,1004,100,3,mist
Nizhny Novgorod,2025-06-18 00:43:25,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:42:54,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:42:26,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:45:38,23.94,24.06,1003,64,1,clear sky
Rostov-on-Don,2025-06-18 00:45:38,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:45:38,11.65,11.38,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:42:19,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:41:44,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:43:07,14.42,13.54,1005,62,0.89,clear sky
Tyumen,2025-06-18 00:45:39,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:41:06,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:40:51,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:43:29,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 00:41:22,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:45:01,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:45:39,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:42:49,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:45:29,14.08,14,1005,94,4,broken clouds
Novosibirsk,2025-06-18 00:42:38,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:44:37,12.77,12.71,1004,100,3,mist
Nizhny Novgorod,2025-06-18 00:43:25,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:42:54,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:42:26,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:45:38,23.94,24.06,1003,64,1,clear sky
Rostov-on-Don,2025-06-18 00:45:38,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:45:38,11.65,11.38,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:42:19,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:41:44,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:43:07,14.42,13.54,1005,62,0.89,clear sky
Tyumen,2025-06-18 00:45:39,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:41:06,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:40:51,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:43:29,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 00:41:22,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:45:01,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:45:39,15.03,14.81,1017,85,5.65,clear sky
